200 18000
145 103 6
195 95 7
93 12 8
143 153 9
184 181 10
89 106 1
5 83 2
120 20 3
10 54 4
52 120 5
191 68 6
18 88 7
77 4 8
39 161 9
21 75 10
12 178 1
158 165 2
24 9 3
170 176 4
104 102 5
160 9 6
143 194 7
62 165 8
126 13 9
67 84 10
135 129 1
74 17 2
104 103 3
172 142 4
63 46 5
114 26 6
78 175 7
183 198 8
39 104 9
126 142 10
85 158 1
102 100 2
66 30 3
43 113 4
143 180 5
72 78 6
104 114 7
40 17 8
6 11 9
110 20 10
23 56 1
45 183 2
52 27 3
90 180 4
83 105 5
40 31 6
141 132 7
123 139 8
117 92 9
194 30 10
143 115 1
97 154 2
111 54 3
116 20 4
123 73 5
194 117 6
105 46 7
96 37 8
135 178 9
93 166 10
17 186 1
97 107 2
108 46 3
24 157 4
89 139 5
3 17 6
81 66 7
144 108 8
23 119 9
144 115 10
109 97 1
2 60 2
154 107 3
88 38 4
82 36 5
53 52 6
67 150 7
158 174 8
67 147 9
197 35 10
5 166 1
37 189 2
96 31 3
70 95 4
44 166 5
3 104 6
108 167 7
162 156 8
195 198 9
48 190 10
1 56 1
149 111 2
30 95 3
177 178 4
133 129 5
143 117 6
125 169 7
164 101 8
33 26 9
69 147 10
150 101 1
69 124 2
8 86 3
2 176 4
83 165 5
83 1 6
21 149 7
2 193 8
121 43 9
123 179 10
74 53 1
39 174 2
154 198 3
23 74 4
88 92 5
15 72 6
156 31 7
52 131 8
134 184 9
96 185 10
68 169 1
133 113 2
69 128 3
50 38 4
41 120 5
70 11 6
36 194 7
132 92 8
135 7 9
19 30 10
126 102 1
12 153 2
8 196 3
39 103 4
159 132 5
170 64 6
71 190 7
143 56 8
189 193 9
46 60 10
33 56 1
178 129 2
21 44 3
109 2 4
79 107 5
8 184 6
195 156 7
113 164 8
103 142 9
18 73 10
61 140 1
83 89 2
31 129 3
117 91 4
23 136 5
177 7 6
143 105 7
186 137 8
197 77 9
188 136 10
171 28 1
183 95 2
7 117 3
59 98 4
116 61 5
121 83 6
55 171 7
135 156 8
128 4 9
133 180 10
135 75 1
71 36 2
61 65 3
19 200 4
200 46 5
170 46 6
38 29 7
126 53 8
96 113 9
179 193 10
93 101 1
134 54 2
90 137 3
174 182 4
55 48 5
90 60 6
108 119 7
59 70 8
154 180 9
116 134 10
170 120 1
59 65 2
184 4 3
121 195 4
2 48 5
135 13 6
101 54 7
23 34 8
90 27 9
53 75 10
145 142 1
15 86 2
97 2 3
85 155 4
152 28 5
197 40 6
71 98 7
14 54 8
8 53 9
55 175 10
55 139 1
108 189 2
12 193 3
93 19 4
146 53 5
45 197 6
83 87 7
12 88 8
179 48 9
6 194 10
33 199 1
155 21 2
83 168 3
135 26 4
152 175 5
189 182 6
130 91 7
41 35 8
93 133 9
5 145 10
2 78 1
117 142 2
105 84 3
62 156 4
19 54 5
134 173 6
74 168 7
140 51 8
55 67 9
3 195 10
45 200 1
40 124 2
16 79 3
83 172 4
2 161 5
84 54 6
118 167 7
110 25 8
180 165 9
126 199 10
18 60 1
43 171 2
179 63 3
93 33 4
129 95 5
28 128 6
103 139 7
167 169 8
90 119 9
31 4 10
43 87 1
36 160 2
6 97 3
185 137 4
61 62 5
135 78 6
121 58 7
72 164 8
36 200 9
15 59 10
79 149 1
45 118 2
188 118 3
121 86 4
170 129 5
5 159 6
116 40 7
53 176 8
53 113 9
38 139 10
110 190 1
61 148 2
19 113 3
176 149 4
34 170 5
163 48 6
135 80 7
44 4 8
19 130 9
188 124 10
34 10 1
144 1 2
150 196 3
177 154 4
108 166 5
49 44 6
75 192 7
61 188 8
37 10 9
88 180 10
22 50 1
179 108 2
23 82 3
111 100 4
152 186 5
40 113 6
135 20 7
121 113 8
89 131 9
74 190 10
6 117 1
191 81 2
3 60 3
22 20 4
191 59 5
153 165 6
108 131 7
141 72 8
153 183 9
56 193 10
168 187 1
81 166 2
59 48 3
121 132 4
127 190 5
1 180 6
12 7 7
134 178 8
125 33 9
185 36 10
89 95 1
112 68 2
36 20 3
94 28 4
14 76 5
43 11 6
152 128 7
11 75 8
176 196 9
94 165 10
46 122 1
96 80 2
58 29 3
9 42 4
105 44 5
145 27 6
90 46 7
125 57 8
102 65 9
104 92 10
115 114 1
87 67 2
161 42 3
29 169 4
156 122 5
133 29 6
168 180 7
177 108 8
116 8 9
18 65 10
196 111 1
1 9 2
41 65 3
77 58 4
133 119 5
33 149 6
35 46 7
39 51 8
79 148 9
55 159 10
43 153 1
72 84 2
22 191 3
48 182 4
17 107 5
17 46 6
6 13 7
53 169 8
23 46 9
141 62 10
178 11 1
175 173 2
197 176 3
96 166 4
6 76 5
158 151 6
34 119 7
92 29 8
28 176 9
82 73 10
45 70 1
51 57 2
76 171 3
61 98 4
123 16 5
145 190 6
85 114 7
72 81 8
189 89 9
79 64 10
182 4 1
185 64 2
74 39 3
12 98 4
121 56 5
123 120 6
195 64 7
93 77 8
61 44 9
35 157 10
98 180 1
67 187 2
168 195 3
33 32 4
188 73 5
136 165 6
172 190 7
184 175 8
47 40 9
191 159 10
121 55 1
105 165 2
83 148 3
81 25 4
134 132 5
67 29 6
33 167 7
151 128 8
152 64 9
180 139 10
110 88 1
14 122 2
93 161 3
12 36 4
132 119 5
23 42 6
96 124 7
73 122 8
5 156 9
22 158 10
22 185 1
152 154 2
81 54 3
69 54 4
33 192 5
49 72 6
122 54 7
37 98 8
133 152 9
131 174 10
126 178 1
49 199 2
2 4 3
3 159 4
177 187 5
133 131 6
90 186 7
55 147 8
87 55 9
140 170 10
6 176 1
57 38 2
5 170 3
87 160 4
144 65 5
35 18 6
37 100 7
76 129 8
61 175 9
158 65 10
46 73 1
8 100 2
94 19 3
141 154 4
186 129 5
23 98 6
103 137 7
144 48 8
39 189 9
5 84 10
135 70 1
23 186 2
58 151 3
33 13 4
171 11 5
8 97 6
56 195 7
108 165 8
101 13 9
105 86 10
3 94 1
108 182 2
105 4 3
45 30 4
42 65 5
50 128 6
87 72 7
144 113 8
126 174 9
184 176 10
24 48 1
191 42 2
50 31 3
84 158 4
15 63 5
108 169 6
17 29 7
89 73 8
184 70 9
25 117 10
87 118 1
105 173 2
141 17 3
116 114 4
94 44 5
93 49 6
67 192 7
50 86 8
44 193 9
133 7 10
53 58 1
74 114 2
155 33 3
146 16 4
14 24 5
110 193 6
97 132 7
82 72 8
65 198 9
111 138 10
41 186 1
3 59 2
41 129 3
108 122 4
93 128 5
45 194 6
166 29 7
63 148 8
45 123 9
37 76 10
185 7 1
133 66 2
149 31 3
15 168 4
59 7 5
14 105 6
34 18 7
77 54 8
89 107 9
69 186 10
133 65 1
179 98 2
93 78 3
160 137 4
187 153 5
125 137 6
194 9 7
176 154 8
121 158 9
143 168 10
47 79 1
96 181 2
32 186 3
173 138 4
26 193 5
158 76 6
6 9 7
7 101 8
36 118 9
188 190 10
105 66 1
75 29 2
184 25 3
149 167 4
28 151 5
132 165 6
75 149 7
47 69 8
38 95 9
191 113 10
4 199 1
11 119 2
52 106 3
41 128 4
93 32 5
106 168 6
81 132 7
105 148 8
49 115 9
23 66 10
140 76 1
102 149 2
77 101 3
63 91 4
67 142 5
12 42 6
117 156 7
85 9 8
128 20 9
74 75 10
77 188 1
123 51 2
5 150 3
153 190 4
52 29 5
104 122 6
58 136 7
194 199 8
35 154 9
162 182 10
78 127 1
163 138 2
125 38 3
96 178 4
191 172 5
66 165 6
23 170 7
164 167 8
74 170 9
145 147 10
2 73 1
35 19 2
152 188 3
170 132 4
142 107 5
94 179 6
78 95 7
37 175 8
2 92 9
176 54 10
21 13 1
83 190 2
15 185 3
19 36 4
33 139 5
37 158 6
51 127 7
144 168 8
14 185 9
119 122 10
163 168 1
197 90 2
10 181 3
125 193 4
15 30 5
172 182 6
98 166 7
85 186 8
170 136 9
94 24 10
6 26 1
126 172 2
170 157 3
43 91 4
23 163 5
142 119 6
74 124 7
48 128 8
18 158 9
63 200 10
112 81 1
18 117 2
53 148 3
171 187 4
98 192 5
69 70 6
159 129 7
156 64 8
12 26 9
105 178 10
144 54 1
179 72 2
53 196 3
115 181 4
61 147 5
178 64 6
126 78 7
116 64 8
48 165 9
7 148 10
185 76 1
17 66 2
34 81 3
197 21 4
106 150 5
2 102 6
3 32 7
56 73 8
179 53 9
126 122 10
52 113 1
189 142 2
56 129 3
176 157 4
172 163 5
76 156 6
92 190 7
21 176 8
193 124 9
182 124 10
143 25 1
145 183 2
8 55 3
152 187 4
74 59 5
123 112 6
125 52 7
5 64 8
107 20 9
78 180 10
7 182 1
185 124 2
51 158 3
51 174 4
174 150 5
92 107 6
41 151 7
189 158 8
140 95 9
144 105 10
7 165 1
41 27 2
58 90 3
45 116 4
109 177 5
43 193 6
178 183 7
33 118 8
87 168 9
36 159 10
80 91 1
68 58 2
104 49 3
144 159 4
9 124 5
35 103 6
112 164 7
125 9 8
185 28 9
185 20 10
179 167 1
96 149 2
35 152 3
63 62 4
23 4 5
78 102 6
94 135 7
94 121 8
39 31 9
47 190 10
44 154 1
33 70 2
155 109 3
182 30 4
94 14 5
72 2 6
102 132 7
35 168 8
182 137 9
96 111 10
185 174 1
164 31 2
36 60 3
98 76 4
66 65 5
96 172 6
108 129 7
41 63 8
37 70 9
82 196 10
35 149 1
118 154 2
51 73 3
139 153 4
200 54 5
49 191 6
12 173 7
185 21 8
47 48 9
82 64 10
113 130 1
35 172 2
58 75 3
46 186 4
96 134 5
82 128 6
82 33 7
200 132 8
57 152 9
62 70 10
118 151 1
52 76 2
24 81 3
79 60 4
93 72 5
143 136 6
22 177 7
59 31 8
197 4 9
77 51 10
156 130 1
133 11 2
140 132 3
143 196 4
35 164 5
185 57 6
61 82 7
12 114 8
23 36 9
193 107 10
116 87 1
89 194 2
15 5 3
72 170 4
1 148 5
21 130 6
55 153 7
140 194 8
34 36 9
189 70 10
197 198 1
6 31 2
57 170 3
96 93 4
40 192 5
151 107 6
126 97 7
93 148 8
19 101 9
62 101 10
82 118 1
73 186 2
117 173 3
57 107 4
56 42 5
53 200 6
62 38 7
133 169 8
106 160 9
8 173 10
50 19 1
104 166 2
142 4 3
4 136 4
53 56 5
175 176 6
62 44 7
168 147 8
189 100 9
104 175 10
140 12 1
108 117 2
96 174 3
68 19 4
37 182 5
37 118 6
11 154 7
89 193 8
14 48 9
3 93 10
37 20 1
177 98 2
15 123 3
114 17 4
63 191 5
2 170 6
86 154 7
61 49 8
12 80 9
69 193 10
68 138 1
174 29 2
21 148 3
62 114 4
21 107 5
116 57 6
78 92 7
93 106 8
158 29 9
127 64 10
17 30 1
43 165 2
17 176 3
85 74 4
141 120 5
22 100 6
114 170 7
73 128 8
93 83 9
150 186 10
63 149 1
41 54 2
6 107 3
127 65 4
34 190 5
143 16 6
59 158 7
58 174 8
131 186 9
105 11 10
23 32 1
5 137 2
77 153 3
16 187 4
121 1 5
69 136 6
15 128 7
74 122 8
134 152 9
119 186 10
141 80 1
98 86 2
143 139 3
23 124 4
33 25 5
200 29 6
185 17 7
88 169 8
103 13 9
133 108 10
43 103 1
69 153 2
178 171 3
56 190 4
127 129 5
21 174 6
7 60 7
145 70 8
154 92 9
68 131 10
77 48 1
45 130 2
32 17 3
196 165 4
71 72 5
128 173 6
67 32 7
37 193 8
9 183 9
89 44 10
109 169 1
109 115 2
178 180 3
134 11 4
22 79 5
16 98 6
94 110 7
58 65 8
57 135 9
185 130 10
59 196 1
51 168 2
177 184 3
33 27 4
94 65 5
126 147 6
160 127 7
171 103 8
12 76 9
1 27 10
125 78 1
18 75 2
187 139 3
44 76 4
5 25 5
83 180 6
152 147 7
133 135 8
75 118 9
113 92 10
163 11 1
17 122 2
71 137 3
148 92 4
92 147 5
126 71 6
152 170 7
41 108 8
116 90 9
114 103 10
34 72 1
23 148 2
133 33 3
109 7 4
150 173 5
112 98 6
66 183 7
185 72 8
77 89 9
97 120 10
41 57 1
97 48 2
90 101 3
3 164 4
155 35 5
189 103 6
121 9 7
135 117 8
36 127 9
41 177 10
24 99 1
83 194 2
82 95 3
111 65 4
68 183 5
125 113 6
23 113 7
75 173 8
2 137 9
78 156 10
18 171 1
58 132 2
144 138 3
16 48 4
179 41 5
144 77 6
16 138 7
112 62 8
22 171 9
126 39 10
191 4 1
179 115 2
87 103 3
53 104 4
82 175 5
98 11 6
21 99 7
188 29 8
76 164 9
4 95 10
68 147 1
123 83 2
144 7 3
8 22 4
45 11 5
12 111 6
141 66 7
146 197 8
121 172 9
131 27 10
21 78 1
49 151 2
67 65 3
76 20 4
144 161 5
83 119 6
26 154 7
117 170 8
112 124 9
143 156 10
179 18 1
15 19 2
124 139 3
102 138 4
21 158 5
179 124 6
6 196 7
81 190 8
15 102 9
85 176 10
2 184 1
39 52 2
123 150 3
58 165 4
170 75 5
41 18 6
30 130 7
50 119 8
50 87 9
44 173 10
197 114 1
77 11 2
15 52 3
48 151 4
5 86 5
79 154 6
33 187 7
196 95 8
197 64 9
23 43 10
3 63 1
32 60 2
193 130 3
34 31 4
6 131 5
127 27 6
103 120 7
134 90 8
106 137 9
63 36 10
22 190 1
141 160 2
22 36 3
170 156 4
99 130 5
12 54 6
23 192 7
37 136 8
104 70 9
35 119 10
145 76 1
161 147 2
50 199 3
104 32 4
166 159 5
71 30 6
94 178 7
144 151 8
162 107 9
197 50 10
34 136 1
39 186 2
56 103 3
73 130 4
200 186 5
76 198 6
108 187 7
125 53 8
19 127 9
35 135 10
77 105 1
116 170 2
34 66 3
140 113 4
179 62 5
114 190 6
127 95 7
152 149 8
177 182 9
133 31 10
106 162 1
82 148 2
134 165 3
43 72 4
104 59 5
177 180 6
163 92 7
197 101 8
166 157 9
135 88 10
77 27 1
200 73 2
155 152 3
88 173 4
3 80 5
41 172 6
53 61 7
140 177 8
164 139 9
42 20 10
22 148 1
184 174 2
74 40 3
132 148 4
191 20 5
35 169 6
34 48 7
155 193 8
166 137 9
16 194 10
166 120 1
8 180 2
170 148 3
109 108 4
63 128 5
84 102 6
19 66 7
103 100 8
43 166 9
152 122 10
121 11 1
137 4 2
26 27 3
121 21 4
193 192 5
1 138 6
172 107 7
162 167 8
68 159 9
197 185 10
15 94 1
3 193 2
168 117 3
35 190 4
71 198 5
63 7 6
89 153 7
32 73 8
61 25 9
64 198 10
57 76 1
18 175 2
189 128 3
185 42 4
87 65 5
67 151 6
79 20 7
66 186 8
56 9 9
15 71 10
14 167 1
112 46 2
39 172 3
22 54 4
122 198 5
41 130 6
10 25 7
104 165 8
97 90 9
154 101 10
51 183 1
13 20 2
70 157 3
31 30 4
12 44 5
53 25 6
10 164 7
22 200 8
43 88 9
161 54 10
46 192 1
16 90 2
7 193 3
96 132 4
41 32 5
23 49 6
35 20 7
104 187 8
86 187 9
12 139 10
22 164 1
141 173 2
26 180 3
123 101 4
23 142 5
30 139 6
22 134 7
126 125 8
126 54 9
88 148 10
87 145 1
121 143 2
55 29 3
22 119 4
12 159 5
138 65 6
189 117 7
12 60 8
59 150 9
144 193 10
69 172 1
177 70 2
194 169 3
16 139 4
55 158 5
61 59 6
117 138 7
56 127 8
97 180 9
80 196 10
112 197 1
32 170 2
22 66 3
135 44 4
38 198 5
55 13 6
62 176 7
34 122 8
60 122 9
200 102 10
67 40 1
117 46 2
88 196 3
73 193 4
16 105 5
22 47 6
26 120 7
22 91 8
177 138 9
55 184 10
102 30 1
45 23 2
116 82 3
118 101 4
34 108 5
98 195 6
181 91 7
172 195 8
112 169 9
63 52 10
191 186 1
141 40 2
126 42 3
69 170 4
35 16 5
150 157 6
57 150 7
47 142 8
122 4 9
23 137 10
83 70 1
15 17 2
126 55 3
185 69 4
177 122 5
69 11 6
161 137 7
62 181 8
97 167 9
126 116 10
53 27 1
125 194 2
74 128 3
68 162 4
89 102 5
116 197 6
51 105 7
41 193 8
121 71 9
81 162 10
74 189 1
50 17 2
6 27 3
78 172 4
123 156 5
40 176 6
164 182 7
121 7 8
43 188 9
96 169 10
77 165 1
133 163 2
155 167 3
37 174 4
87 75 5
63 69 6
86 161 7
166 64 8
141 64 9
96 129 10
161 30 1
34 44 2
36 38 3
21 156 4
49 133 5
120 95 6
38 182 7
155 1 8
26 75 9
104 180 10
71 43 1
160 196 2
92 180 3
93 40 4
83 73 5
126 108 6
98 120 7
52 64 8
135 99 9
80 98 10
98 173 1
186 198 2
172 178 3
83 175 4
115 153 5
110 169 6
149 64 7
103 153 8
41 25 9
185 118 10
85 104 1
15 148 2
113 107 3
82 4 4
6 144 5
81 101 6
24 156 7
59 199 8
141 187 9
174 101 10
45 142 1
108 162 2
67 42 3
82 162 4
146 91 5
175 199 6
1 166 7
74 107 8
108 78 9
62 174 10
114 113 1
54 20 2
89 64 3
171 75 4
96 156 5
200 127 6
37 88 7
106 20 8
63 117 9
123 117 10
28 149 1
57 175 2
56 188 3
30 120 4
36 101 5
189 92 6
62 99 7
15 55 8
141 157 9
6 145 10
65 181 1
86 127 2
39 36 3
34 105 4
53 109 5
21 80 6
57 148 7
88 64 8
188 183 9
105 26 10
155 176 1
191 87 2
9 195 3
83 167 4
63 92 5
18 31 6
18 149 7
8 182 8
90 95 9
179 194 10
9 128 1
144 200 2
104 115 3
43 169 4
8 10 5
185 19 6
67 154 7
45 185 8
167 130 9
15 78 10
22 136 1
59 10 2
34 101 3
104 124 4
97 198 5
159 54 6
102 91 7
22 108 8
85 118 9
69 181 10
24 135 1
131 64 2
141 77 3
152 119 4
152 86 5
141 4 6
189 81 7
111 165 8
85 164 9
43 186 10
110 166 1
197 111 2
45 52 3
172 183 4
109 113 5
1 127 6
197 189 7
104 27 8
59 100 9
79 119 10
159 122 1
43 176 2
134 86 3
71 187 4
96 176 5
86 188 6
44 40 7
15 130 8
100 127 9
68 143 10
49 198 1
46 148 2
68 26 3
175 136 4
189 150 5
83 117 6
96 58 7
36 165 8
25 27 9
200 175 10
53 166 1
99 60 2
72 99 3
58 117 4
66 199 5
33 176 6
85 159 7
112 25 8
109 194 9
191 51 10
62 98 1
1 178 2
133 95 3
159 138 4
119 64 5
116 9 6
96 140 7
107 153 8
105 56 9
40 170 10
144 199 1
59 79 2
81 89 3
1 150 4
111 128 5
96 17 6
21 166 7
80 131 8
154 147 9
50 91 10
86 149 1
94 154 2
6 124 3
85 38 4
35 129 5
133 159 6
94 39 7
1 46 8
93 79 9
51 17 10
11 48 1
133 164 2
23 195 3
32 13 4
119 124 5
77 129 6
194 162 7
166 122 8
98 196 9
41 81 10
71 70 1
134 191 2
39 131 3
69 192 4
8 24 5
72 186 6
8 4 7
2 149 8
179 114 9
185 102 10
62 32 1
25 30 2
175 147 3
98 122 4
196 130 5
162 65 6
47 153 7
191 55 8
178 198 9
83 158 10
138 165 1
118 64 2
102 151 3
134 117 4
146 115 5
89 158 6
8 44 7
39 11 8
89 124 9
41 55 10
110 171 1
32 148 2
43 59 3
16 100 4
125 189 5
162 180 6
49 26 7
94 151 8
110 17 9
192 20 10
106 187 1
68 27 2
115 26 3
191 80 4
108 161 5
141 139 6
200 60 7
133 111 8
9 167 9
125 122 10
99 147 1
97 101 2
145 162 3
114 88 4
171 181 5
74 159 6
99 190 7
23 93 8
23 152 9
174 107 10
15 141 1
115 65 2
191 188 3
189 137 4
41 39 5
186 183 6
173 95 7
94 162 8
146 119 9
141 76 10
185 51 1
50 73 2
24 89 3
179 103 4
106 167 5
108 32 6
22 194 7
179 148 8
102 4 9
25 29 10
37 1 1
82 120 2
55 200 3
141 191 4
79 26 5
116 156 6
183 181 7
200 100 8
40 183 9
34 7 10
5 106 1
12 160 2
160 193 3
185 148 4
145 56 5
59 29 6
180 120 7
163 113 8
55 181 9
6 103 10
134 171 1
161 66 2
112 153 3
193 165 4
123 46 5
2 178 6
189 181 7
140 162 8
133 98 9
39 78 10
67 105 1
24 136 2
178 138 3
192 54 4
135 187 5
47 162 6
5 67 7
121 110 8
155 11 9
44 188 10
109 176 1
22 128 2
61 67 3
105 119 4
23 138 5
25 171 6
168 198 7
77 145 8
126 31 9
16 40 10
77 20 1
106 186 2
140 68 3
135 92 4
200 7 5
146 139 6
83 32 7
2 113 8
59 62 9
121 82 10
17 148 1
126 47 2
123 65 3
145 122 4
84 60 5
152 189 6
171 195 7
80 151 8
80 172 9
8 26 10
39 62 1
60 127 2
119 193 3
200 136 4
82 110 5
80 161 6
35 25 7
3 131 8
14 98 9
185 165 10
116 32 1
16 111 2
23 39 3
100 136 4
14 148 5
6 178 6
166 66 7
70 17 8
53 103 9
127 165 10
113 183 1
141 137 2
44 38 3
10 150 4
115 75 5
146 106 6
161 182 7
168 20 8
56 136 9
71 101 10
3 49 1
68 106 2
166 127 3
84 170 4
162 30 5
134 12 6
118 148 7
63 49 8
79 137 9
24 163 10
144 42 1
71 115 2
16 186 3
123 18 4
28 186 5
37 151 6
73 107 7
72 88 8
5 34 9
51 60 10
150 30 1
92 129 2
7 198 3
161 180 4
30 173 5
56 118 6
123 133 7
140 149 8
63 60 9
45 166 10
155 42 1
148 147 2
18 27 3
187 60 4
3 72 5
184 46 6
25 7 7
96 188 8
105 129 9
45 25 10
84 29 1
147 107 2
128 100 3
26 101 4
48 127 5
23 9 6
8 170 7
15 9 8
143 167 9
39 38 10
187 154 1
141 11 2
68 165 3
96 7 4
1 113 5
42 128 6
164 142 7
106 11 8
100 20 9
158 149 10
116 171 1
126 130 2
52 73 3
92 42 4
110 198 5
2 29 6
96 8 7
14 119 8
143 119 9
185 78 10
41 198 1
78 103 2
98 4 3
3 152 4
55 70 5
3 106 6
50 109 7
93 75 8
131 42 9
8 178 10
72 166 1
126 195 2
56 124 3
134 188 4
143 178 5
180 183 6
37 46 7
1 119 8
112 107 9
121 161 10
148 167 1
6 69 2
84 199 3
151 173 4
80 200 5
133 117 6
152 58 7
112 7 8
99 181 9
159 92 10
74 41 1
90 38 2
62 91 3
174 156 4
115 86 5
175 91 6
10 184 7
86 90 8
41 135 9
67 166 10
117 157 1
68 76 2
9 75 3
110 167 4
8 192 5
147 54 6
50 54 7
179 198 8
8 65 9
48 107 10
85 56 1
50 188 2
96 122 3
197 166 4
116 41 5
5 185 6
123 159 7
150 95 8
83 193 9
155 132 10
47 133 1
80 130 2
194 149 3
39 55 4
8 193 5
77 2 6
141 63 7
79 136 8
85 103 9
41 36 10
146 88 1
134 164 2
48 198 3
126 2 4
124 129 5
87 10 6
155 194 7
89 99 8
42 153 9
168 128 10
6 134 1
121 103 2
1 139 3
37 176 4
63 180 5
134 143 6
196 181 7
140 73 8
183 20 9
103 30 10
55 136 1
48 95 2
35 1 3
88 162 4
21 120 5
174 167 6
93 167 7
68 113 8
155 92 9
89 130 10
77 186 1
77 21 2
3 102 3
96 50 4
77 175 5
152 29 6
200 13 7
47 75 8
152 162 9
71 160 10
126 134 1
179 44 2
44 156 3
46 151 4
128 199 5
191 184 6
11 156 7
57 60 8
140 106 9
121 148 10
161 195 1
194 64 2
109 153 3
134 194 4
30 129 5
26 124 6
37 170 7
35 128 8
49 118 9
171 4 10
182 128 1
45 13 2
89 70 3
185 25 4
105 31 5
51 118 6
22 139 7
57 4 8
180 20 9
8 29 10
156 101 1
25 164 2
104 105 3
146 69 4
149 186 5
133 138 6
162 169 7
134 189 8
191 111 9
3 117 10
24 54 1
110 7 2
179 26 3
41 7 4
33 142 5
114 27 6
90 42 7
146 142 8
39 194 9
166 142 10
104 177 1
26 138 2
24 166 3
23 134 4
25 156 5
2 9 6
34 111 7
19 138 8
52 51 9
141 90 10
191 86 1
156 129 2
105 27 3
52 11 4
186 42 5
72 124 6
41 73 7
85 41 8
81 154 9
67 172 10
109 16 1
37 19 2
185 111 3
3 64 4
6 74 5
2 88 6
76 58 7
52 117 8
85 61 9
68 132 10
108 9 1
93 157 2
189 101 3
24 198 4
55 166 5
43 132 6
184 42 7
27 199 8
45 101 9
84 4 10
112 198 1
144 66 2
163 4 3
182 151 4
88 111 5
41 44 6
152 184 7
116 39 8
47 117 9
53 33 10
41 60 1
3 37 2
120 165 3
69 75 4
76 170 5
135 190 6
125 37 7
123 12 8
164 147 9
191 56 10
52 172 1
121 181 2
170 13 3
24 127 4
135 198 5
127 138 6
72 80 7
5 117 8
39 108 9
6 168 10
175 154 1
10 106 2
110 117 3
182 54 4
61 106 5
37 16 6
184 13 7
21 171 8
70 130 9
163 149 10
65 91 1
119 151 2
55 86 3
161 156 4
12 62 5
80 170 6
123 54 7
104 128 8
141 107 9
161 122 10
144 177 1
135 147 2
116 16 3
47 169 4
35 117 5
78 161 6
133 79 7
28 139 8
116 135 9
80 99 10
148 20 11
70 159 2
39 73 3
132 173 4
85 179 5
5 155 6
96 53 7
59 21 8
94 93 9
89 54 10
21 170 1
84 149 2
112 200 3
